elapsed_s,angle_y_deg,gy_deg_s,weight_g,pouring_rate_g_s
0.484,-0.34,0.00,1.59,0.01
0.984,-0.34,0.00,1.59,-0.01
1.484,-0.34,0.00,1.59,0.00
1.984,-0.33,0.00,1.59,-0.00
2.500,-0.33,0.00,1.58,-0.01
3.000,-0.33,0.00,1.58,-0.00
3.500,-0.33,0.00,1.58,-0.00
4.000,-0.33,0.00,1.58,-0.00
4.500,-7.89,-7.37,1.58,-0.01
5.000,-46.69,-98.30,1.58,0.00
5.500,-81.56,-19.20,1.58,-0.00
6.000,-86.58,0.61,11.54,19.89
6.500,-86.71,-0.58,29.31,35.46
7.000,-90.25,0.12,34.36,10.08
7.500,-90.34,0.33,38.47,8.20
8.000,-90.40,0.00,39.98,3.02
8.500,-90.43,0.00,40.48,1.00
9.000,-90.46,0.00,40.77,0.56
9.500,-90.48,0.00,40.94,0.36
10.015,-90.51,0.00,41.10,0.32
10.500,-90.51,0.00,41.22,0.23
11.015,-90.51,0.00,41.32,0.20
11.515,-90.51,0.00,41.39,0.15
12.015,-90.51,0.00,41.46,0.15
12.515,-90.52,0.00,41.52,0.12
13.015,-90.52,0.00,41.56,0.06
13.515,-90.52,0.00,41.62,0.12
14.015,-90.51,0.00,41.62,0.01
14.515,-90.51,0.00,41.67,0.10
15.015,-90.52,0.00,41.70,0.05
15.515,-90.52,0.00,41.70,0.00
16.015,-90.52,0.00,41.71,0.02
16.515,-90.52,0.00,41.71,-0.00
17.015,-90.52,0.00,41.71,0.01
17.515,-90.52,0.00,41.72,0.01
18.015,-90.52,0.00,41.73,0.02
18.515,-90.52,0.00,41.80,0.14
19.031,-90.51,0.00,41.81,0.03
19.515,-90.52,0.00,41.76,-0.11
20.031,-90.52,0.00,41.74,-0.03
20.531,-90.52,0.00,41.76,0.05
21.031,-90.52,0.00,41.87,0.22
21.531,-90.52,0.00,41.81,-0.12
22.031,-90.52,0.00,41.81,-0.01
